loc,cases,deaths,month
25,Cases,0,6
25,Cases,5,8
25,Cases,4,3
25,Cases,3,2
25,Cases,78,9
25,Cases,2,1
25,Cases,0,12
25,Cases,72,10
25,Cases,0,4
25,Cases,1,5
25,Cases,4,7
25,Cases,1,11
80,Cases,10,12
80,Cases,5,6
80,Cases,6,2
80,Cases,3,1
80,Cases,7,8
80,Cases,4,3
80,Cases,97,10
80,Cases,2,5
80,Cases,9,7
80,Cases,15,4
80,Cases,11,11
80,Cases,115,9
0,Cases,0,4
0,Cases,0,2
0,Cases,6,10
0,Cases,1,7
0,Cases,5,11
0,Cases,45,9
0,Cases,0,5
0,Cases,0,3
0,Cases,1,1
0,Cases,0,12
0,Cases,1,6
0,Cases,1,8
1,Cases,0,6
1,Cases,1,3
1,Cases,1,11
1,Cases,37,9
1,Cases,3,8
1,Cases,0,5
1,Cases,1,4
1,Cases,1,2
1,Cases,1,7
1,Cases,6,1
1,Cases,41,10
1,Cases,5,12
2,Cases,6,12
2,Cases,1,6
2,Cases,3,11
2,Cases,43,9
2,Cases,4,2
2,Cases,1,1
2,Cases,1,8
2,Cases,45,10
2,Cases,2,7
2,Cases,0,5
2,Cases,5,3
2,Cases,1,4
3,Cases,0,1
3,Cases,4,7
3,Cases,8,6
3,Cases,3,2
3,Cases,2,3
3,Cases,41,10
3,Cases,5,8
3,Cases,0,12
3,Cases,1,11
3,Cases,3,4
3,Cases,1,5
3,Cases,42,9
4,Cases,2,10
4,Cases,8,6
4,Cases,2,7
4,Cases,3,12
4,Cases,7,9
4,Cases,3,11
4,Cases,2,4
4,Cases,2,2
4,Cases,5,3
4,Cases,2,8
4,Cases,3,1
4,Cases,2,5
5,Cases,0,3
5,Cases,0,4
5,Cases,2,12
5,Cases,4,2
5,Cases,1,6
5,Cases,0,5
5,Cases,1,10
5,Cases,1,1
5,Cases,0,8
5,Cases,2,11
5,Cases,1,7
5,Cases,5,9
6,Cases,9,7
6,Cases,1,5
6,Cases,3,11
6,Cases,5,6
6,Cases,2,2
6,Cases,38,9
6,Cases,0,3
6,Cases,7,8
6,Cases,0,4
6,Cases,51,10
6,Cases,2,12
6,Cases,2,1
7,Cases,1,1
7,Cases,0,6
7,Cases,44,9
7,Cases,0,5
7,Cases,0,12
7,Cases,1,8
7,Cases,0,4
7,Cases,2,7
7,Cases,22,10
7,Cases,0,2
7,Cases,1,11
7,Cases,0,3
8,Cases,0,10
8,Cases,1,2
8,Cases,104,9
8,Cases,0,6
8,Cases,0,12
8,Cases,4,7
8,Cases,1,1
8,Cases,0,4
8,Cases,1,8
8,Cases,0,11
8,Cases,0,5
8,Cases,0,3
9,Cases,3,1
9,Cases,1,5
9,Cases,9,8
9,Cases,148,10
9,Cases,2,3
9,Cases,7,11
9,Cases,1,6
9,Cases,1,4
9,Cases,1,2
9,Cases,7,7
9,Cases,5,12
9,Cases,153,9
10,Cases,159,9
10,Cases,0,12
10,Cases,7,8
10,Cases,68,10
10,Cases,2,2
10,Cases,4,7
10,Cases,0,3
10,Cases,3,11
10,Cases,1,1
10,Cases,1,5
10,Cases,1,4
10,Cases,1,6
11,Cases,0,12
11,Cases,2,4
11,Cases,10,9
11,Cases,19,10
11,Cases,2,6
11,Cases,3,1
11,Cases,2,2
11,Cases,0,7
11,Cases,0,5
11,Cases,2,8
11,Cases,2,11
11,Cases,1,3
12,Cases,0,2
12,Cases,0,6
12,Cases,0,7
12,Cases,1,5
12,Cases,3,9
12,Cases,0,8
12,Cases,9,10
12,Cases,0,12
12,Cases,0,1
12,Cases,0,3
12,Cases,0,4
12,Cases,0,11
13,Cases,10,7
13,Cases,3,9
13,Cases,3,8
13,Cases,2,5
13,Cases,3,3
13,Cases,0,4
13,Cases,4,10
13,Cases,5,11
13,Cases,1,1
13,Cases,0,2
13,Cases,3,6
13,Cases,3,12
14,Cases,0,1
14,Cases,1,11
14,Cases,0,9
14,Cases,0,2
14,Cases,0,12
14,Cases,0,3
14,Cases,0,8
14,Cases,0,5
14,Cases,0,4
14,Cases,0,10
14,Cases,0,6
14,Cases,2,7
15,Cases,13,8
15,Cases,5,2
15,Cases,11,11
15,Cases,1,4
15,Cases,1,6
15,Cases,6,7
15,Cases,12,12
15,Cases,6,5
15,Cases,20,10
15,Cases,8,1
15,Cases,22,9
15,Cases,3,3
16,Cases,6,9
16,Cases,1,11
16,Cases,3,8
16,Cases,5,10
16,Cases,1,12
16,Cases,0,5
16,Cases,0,4
16,Cases,1,1
16,Cases,1,2
16,Cases,0,6
16,Cases,2,7
16,Cases,0,3
17,Cases,7,11
17,Cases,3,6
17,Cases,1,12
17,Cases,5,7
17,Cases,0,8
17,Cases,3,2
17,Cases,2,1
17,Cases,144,9
17,Cases,0,5
17,Cases,0,3
17,Cases,92,10
17,Cases,0,4
18,Cases,0,4
18,Cases,0,3
18,Cases,2,9
18,Cases,1,8
18,Cases,2,10
18,Cases,1,1
18,Cases,0,7
18,Cases,0,11
18,Cases,1,2
18,Cases,0,12
18,Cases,0,5
18,Cases,0,6
19,Cases,8,6
19,Cases,7,5
19,Cases,7,3
19,Cases,9,8
19,Cases,5,2
19,Cases,25,11
19,Cases,17,12
19,Cases,4,4
19,Cases,9,1
19,Cases,84,10
19,Cases,7,7
19,Cases,35,9
20,Cases,94,9
20,Cases,1,12
20,Cases,7,6
20,Cases,7,11
20,Cases,4,5
20,Cases,3,4
20,Cases,101,10
20,Cases,10,7
20,Cases,3,3
20,Cases,3,2
20,Cases,1,1
20,Cases,10,8
21,Cases,5,6
21,Cases,9,12
21,Cases,9,1
21,Cases,6,10
21,Cases,10,2
21,Cases,3,4
21,Cases,5,3
21,Cases,0,5
21,Cases,13,9
21,Cases,7,7
21,Cases,18,8
21,Cases,5,11
22,Cases,64,10
22,Cases,5,1
22,Cases,2,12
22,Cases,0,11
22,Cases,2,8
22,Cases,1,4
22,Cases,2,2
22,Cases,0,3
22,Cases,0,6
22,Cases,0,7
22,Cases,1,5
22,Cases,45,9
23,Cases,0,7
23,Cases,12,9
23,Cases,0,8
23,Cases,0,6
23,Cases,1,3
23,Cases,0,5
23,Cases,0,4
23,Cases,0,12
23,Cases,0,11
23,Cases,0,1
23,Cases,13,10
23,Cases,1,2
24,Cases,1,11
24,Cases,2,2
24,Cases,5,7
24,Cases,10,10
24,Cases,1,3
24,Cases,16,8
24,Cases,3,4
24,Cases,12,9
24,Cases,0,6
24,Cases,9,12
24,Cases,11,1
24,Cases,1,5
26,Cases,10,8
26,Cases,3,4
26,Cases,1,5
26,Cases,2,12
26,Cases,4,1
26,Cases,180,10
26,Cases,0,6
26,Cases,2,2
26,Cases,131,9
26,Cases,18,11
26,Cases,3,3
26,Cases,11,7
27,Cases,2,7
27,Cases,2,12
27,Cases,3,3
27,Cases,2,10
27,Cases,1,8
27,Cases,1,11
27,Cases,0,5
27,Cases,1,4
27,Cases,1,6
27,Cases,1,9
27,Cases,3,2
27,Cases,0,1
28,Cases,5,11
28,Cases,9,10
28,Cases,7,6
28,Cases,2,3
28,Cases,1,5
28,Cases,6,7
28,Cases,11,9
28,Cases,4,4
28,Cases,12,8
28,Cases,6,2
28,Cases,6,12
28,Cases,4,1
29,Cases,0,7
29,Cases,1,11
29,Cases,0,4
29,Cases,0,8
29,Cases,2,10
29,Cases,0,3
29,Cases,0,5
29,Cases,0,12
29,Cases,0,1
29,Cases,1,6
29,Cases,0,2
29,Cases,2,9
30,Cases,1,1
30,Cases,7,6
30,Cases,0,2
30,Cases,4,12
30,Cases,2,3
30,Cases,6,7
30,Cases,3,5
30,Cases,8,8
30,Cases,1,4
30,Cases,19,10
30,Cases,4,11
30,Cases,27,9
31,Cases,1,2
31,Cases,0,6
31,Cases,0,1
31,Cases,0,7
31,Cases,0,4
31,Cases,0,3
31,Cases,1,5
31,Cases,0,12
31,Cases,1,10
31,Cases,0,11
31,Cases,0,8
31,Cases,1,9
32,Cases,19,1
32,Cases,4,5
32,Cases,29,11
32,Cases,11,2
32,Cases,27,10
32,Cases,14,8
32,Cases,10,3
32,Cases,11,7
32,Cases,6,4
32,Cases,9,12
32,Cases,22,9
32,Cases,8,6
33,Cases,231,9
33,Cases,13,3
33,Cases,21,7
33,Cases,6,5
33,Cases,36,1
33,Cases,31,8
33,Cases,28,11
33,Cases,13,4
33,Cases,240,10
33,Cases,14,6
33,Cases,23,2
33,Cases,32,12
34,Cases,67,9
34,Cases,13,2
34,Cases,3,4
