loc,c,d,m
" CAGAYAN DE ORO CITY",948,2,1
" CAGAYAN DE ORO CITY",787,3,2
" CAGAYAN DE ORO CITY",633,4,3
" CAGAYAN DE ORO CITY",357,0,4
" CAGAYAN DE ORO CITY",358,1,5
" CAGAYAN DE ORO CITY",414,0,6
" CAGAYAN DE ORO CITY",1177,4,7
" CAGAYAN DE ORO CITY",2171,5,8
" CAGAYAN DE ORO CITY",3012,78,9
" CAGAYAN DE ORO CITY",1392,72,10
" CAGAYAN DE ORO CITY",1913,1,11
" CAGAYAN DE ORO CITY",1049,0,12
" NEGROS ORIENTAL",1492,3,1
" NEGROS ORIENTAL",1282,6,2
" NEGROS ORIENTAL",979,4,3
" NEGROS ORIENTAL",616,15,4
" NEGROS ORIENTAL",545,2,5
" NEGROS ORIENTAL",912,5,6
" NEGROS ORIENTAL",1938,9,7
" NEGROS ORIENTAL",3639,7,8
" NEGROS ORIENTAL",3152,115,9
" NEGROS ORIENTAL",2477,97,10
" NEGROS ORIENTAL",1823,11,11
" NEGROS ORIENTAL",1726,10,12
ABRA,144,1,1
ABRA,135,0,2
ABRA,128,0,3
ABRA,49,0,4
ABRA,82,0,5
ABRA,228,1,6
ABRA,774,1,7
ABRA,633,1,8
ABRA,476,45,9
ABRA,290,6,10
ABRA,153,5,11
ABRA,85,0,12
AGUSAN DEL NORTE,411,6,1
AGUSAN DEL NORTE,345,1,2
AGUSAN DEL NORTE,269,1,3
AGUSAN DEL NORTE,141,1,4
AGUSAN DEL NORTE,119,0,5
AGUSAN DEL NORTE,124,0,6
AGUSAN DEL NORTE,255,1,7
AGUSAN DEL NORTE,372,3,8
AGUSAN DEL NORTE,183,37,9
AGUSAN DEL NORTE,162,41,10
AGUSAN DEL NORTE,135,1,11
AGUSAN DEL NORTE,306,5,12
AGUSAN DEL SUR,901,1,1
AGUSAN DEL SUR,901,4,2
AGUSAN DEL SUR,473,5,3
AGUSAN DEL SUR,221,1,4
AGUSAN DEL SUR,250,0,5
AGUSAN DEL SUR,366,1,6
AGUSAN DEL SUR,622,2,7
AGUSAN DEL SUR,518,1,8
AGUSAN DEL SUR,541,43,9
AGUSAN DEL SUR,511,45,10
AGUSAN DEL SUR,490,3,11
AGUSAN DEL SUR,736,6,12
AKLAN,598,0,1
AKLAN,566,3,2
AKLAN,604,2,3
AKLAN,319,3,4
AKLAN,395,1,5
AKLAN,918,8,6
AKLAN,2277,4,7
AKLAN,2095,5,8
AKLAN,1408,42,9
AKLAN,753,41,10
AKLAN,572,1,11
AKLAN,483,0,12
ALBAY,209,3,1
ALBAY,165,2,2
ALBAY,137,5,3
ALBAY,79,2,4
ALBAY,71,2,5
ALBAY,244,8,6
ALBAY,403,2,7
ALBAY,406,2,8
ALBAY,482,7,9
ALBAY,257,2,10
ALBAY,206,3,11
ALBAY,209,3,12
ANGELES CITY,499,1,1
ANGELES CITY,289,4,2
ANGELES CITY,159,0,3
ANGELES CITY,76,0,4
ANGELES CITY,47,0,5
ANGELES CITY,51,1,6
ANGELES CITY,200,1,7
ANGELES CITY,444,0,8
ANGELES CITY,848,5,9
ANGELES CITY,664,1,10
ANGELES CITY,344,2,11
ANGELES CITY,374,2,12
ANTIQUE,240,2,1
ANTIQUE,190,2,2
ANTIQUE,196,0,3
ANTIQUE,158,0,4
ANTIQUE,265,1,5
ANTIQUE,475,5,6
ANTIQUE,1841,9,7
ANTIQUE,4319,7,8
ANTIQUE,1090,38,9
ANTIQUE,590,51,10
ANTIQUE,420,3,11
ANTIQUE,373,2,12
APAYAO,264,1,1
APAYAO,262,0,2
APAYAO,157,0,3
APAYAO,79,0,4
APAYAO,106,0,5
APAYAO,265,0,6
APAYAO,504,2,7
APAYAO,525,1,8
APAYAO,432,44,9
APAYAO,448,22,10
APAYAO,473,1,11
APAYAO,441,0,12
AURORA,248,1,1
AURORA,204,1,2
AURORA,210,0,3
AURORA,93,0,4
AURORA,105,0,5
AURORA,333,0,6
AURORA,487,4,7
AURORA,748,1,8
AURORA,516,104,9
AURORA,260,0,10
AURORA,171,0,11
AURORA,143,0,12
BACOLOD CITY,457,3,1
BACOLOD CITY,378,1,2
BACOLOD CITY,259,2,3
BACOLOD CITY,164,1,4
BACOLOD CITY,157,1,5
BACOLOD CITY,291,1,6
BACOLOD CITY,1200,7,7
BACOLOD CITY,1935,9,8
BACOLOD CITY,1517,153,9
BACOLOD CITY,794,148,10
BACOLOD CITY,575,7,11
BACOLOD CITY,490,5,12
BAGUIO CITY,321,1,1
BAGUIO CITY,171,2,2
BAGUIO CITY,126,0,3
BAGUIO CITY,109,1,4
BAGUIO CITY,196,1,5
BAGUIO CITY,581,1,6
BAGUIO CITY,1042,4,7
BAGUIO CITY,969,7,8
BAGUIO CITY,509,159,9
BAGUIO CITY,399,68,10
BAGUIO CITY,226,3,11
BAGUIO CITY,139,0,12
BASILAN,137,3,1
BASILAN,147,2,2
BASILAN,98,1,3
BASILAN,95,2,4
BASILAN,118,0,5
BASILAN,178,2,6
BASILAN,220,0,7
BASILAN,137,2,8
BASILAN,123,10,9
BASILAN,97,19,10
BASILAN,91,2,11
BASILAN,96,0,12
BASILIG CITY,163,0,1
BASILIG CITY,141,0,2
BASILIG CITY,84,0,3
BASILIG CITY,55,0,4
BASILIG CITY,46,1,5
BASILIG CITY,86,0,6
BASILIG CITY,75,0,7
BASILIG CITY,91,0,8
BASILIG CITY,73,3,9
BASILIG CITY,80,9,10
BASILIG CITY,67,0,11
BASILIG CITY,145,0,12
BATAAN,1204,1,1
BATAAN,991,0,2
BATAAN,699,3,3
BATAAN,323,0,4
BATAAN,277,2,5
BATAAN,342,3,6
BATAAN,951,10,7
BATAAN,1361,3,8
BATAAN,1601,3,9
BATAAN,1666,4,10
BATAAN,1313,5,11
BATAAN,1150,3,12
BATANES,11,0,1
BATANES,22,0,2
BATANES,35,0,3
BATANES,37,0,4
BATANES,54,0,5
BATANES,138,0,6
BATANES,484,2,7
BATANES,307,0,8
BATANES,61,0,9
BATANES,19,0,10
BATANES,12,1,11
BATANES,6,0,12
BATANGAS,1935,8,1
BATANGAS,1628,5,2
BATANGAS,1111,3,3
BATANGAS,510,1,4
BATANGAS,562,6,5
BATANGAS,1074,1,6
BATANGAS,2867,6,7
BATANGAS,4627,13,8
BATANGAS,6176,22,9
BATANGAS,3598,20,10
BATANGAS,2434,11,11
BATANGAS,1943,12,12
BAYUGAN CITY,120,1,1
BAYUGAN CITY,137,1,2
BAYUGAN CITY,122,0,3
BAYUGAN CITY,60,0,4
BAYUGAN CITY,47,0,5
BAYUGAN CITY,66,0,6
