loc,cases,deaths,month
 CAGAYAN DE ORO CITY,Cases,0,6
 CAGAYAN DE ORO CITY,Cases,5,8
 CAGAYAN DE ORO CITY,Cases,4,3
 CAGAYAN DE ORO CITY,Cases,3,2
 CAGAYAN DE ORO CITY,Cases,78,9
 CAGAYAN DE ORO CITY,Cases,2,1
 CAGAYAN DE ORO CITY,Cases,0,12
 CAGAYAN DE ORO CITY,Cases,72,10
 CAGAYAN DE ORO CITY,Cases,0,4
 CAGAYAN DE ORO CITY,Cases,1,5
 CAGAYAN DE ORO CITY,Cases,4,7
 CAGAYAN DE ORO CITY,Cases,1,11
 NEGROS ORIENTAL,Cases,10,12
 NEGROS ORIENTAL,Cases,5,6
 NEGROS ORIENTAL,Cases,6,2
 NEGROS ORIENTAL,Cases,3,1
 NEGROS ORIENTAL,Cases,7,8
 NEGROS ORIENTAL,Cases,4,3
 NEGROS ORIENTAL,Cases,97,10
 NEGROS ORIENTAL,Cases,2,5
 NEGROS ORIENTAL,Cases,9,7
 NEGROS ORIENTAL,Cases,15,4
 NEGROS ORIENTAL,Cases,11,11
 NEGROS ORIENTAL,Cases,115,9
ABRA,Cases,0,4
ABRA,Cases,0,2
ABRA,Cases,6,10
ABRA,Cases,1,7
ABRA,Cases,5,11
ABRA,Cases,45,9
ABRA,Cases,0,5
ABRA,Cases,0,3
ABRA,Cases,1,1
ABRA,Cases,0,12
ABRA,Cases,1,6
ABRA,Cases,1,8
AGUSAN DEL NORTE,Cases,0,6
AGUSAN DEL NORTE,Cases,1,3
AGUSAN DEL NORTE,Cases,1,11
AGUSAN DEL NORTE,Cases,37,9
AGUSAN DEL NORTE,Cases,3,8
AGUSAN DEL NORTE,Cases,0,5
AGUSAN DEL NORTE,Cases,1,4
AGUSAN DEL NORTE,Cases,1,2
AGUSAN DEL NORTE,Cases,1,7
AGUSAN DEL NORTE,Cases,6,1
AGUSAN DEL NORTE,Cases,41,10
AGUSAN DEL NORTE,Cases,5,12
AGUSAN DEL SUR,Cases,6,12
AGUSAN DEL SUR,Cases,1,6
AGUSAN DEL SUR,Cases,3,11
AGUSAN DEL SUR,Cases,43,9
AGUSAN DEL SUR,Cases,4,2
AGUSAN DEL SUR,Cases,1,1
AGUSAN DEL SUR,Cases,1,8
AGUSAN DEL SUR,Cases,45,10
AGUSAN DEL SUR,Cases,2,7
AGUSAN DEL SUR,Cases,0,5
AGUSAN DEL SUR,Cases,5,3
AGUSAN DEL SUR,Cases,1,4
AKLAN,Cases,0,1
AKLAN,Cases,4,7
AKLAN,Cases,8,6
AKLAN,Cases,3,2
AKLAN,Cases,2,3
AKLAN,Cases,41,10
AKLAN,Cases,5,8
AKLAN,Cases,0,12
AKLAN,Cases,1,11
AKLAN,Cases,3,4
AKLAN,Cases,1,5
AKLAN,Cases,42,9
ALBAY,Cases,2,10
ALBAY,Cases,8,6
ALBAY,Cases,2,7
ALBAY,Cases,3,12
ALBAY,Cases,7,9
ALBAY,Cases,3,11
ALBAY,Cases,2,4
ALBAY,Cases,2,2
ALBAY,Cases,5,3
ALBAY,Cases,2,8
ALBAY,Cases,3,1
ALBAY,Cases,2,5
ANGELES CITY,Cases,0,3
ANGELES CITY,Cases,0,4
ANGELES CITY,Cases,2,12
ANGELES CITY,Cases,4,2
ANGELES CITY,Cases,1,6
ANGELES CITY,Cases,0,5
ANGELES CITY,Cases,1,10
ANGELES CITY,Cases,1,1
ANGELES CITY,Cases,0,8
ANGELES CITY,Cases,2,11
ANGELES CITY,Cases,1,7
ANGELES CITY,Cases,5,9
ANTIQUE,Cases,9,7
ANTIQUE,Cases,1,5
ANTIQUE,Cases,3,11
ANTIQUE,Cases,5,6
ANTIQUE,Cases,2,2
ANTIQUE,Cases,38,9
ANTIQUE,Cases,0,3
ANTIQUE,Cases,7,8
ANTIQUE,Cases,0,4
ANTIQUE,Cases,51,10
ANTIQUE,Cases,2,12
ANTIQUE,Cases,2,1
APAYAO,Cases,1,1
APAYAO,Cases,0,6
APAYAO,Cases,44,9
APAYAO,Cases,0,5
APAYAO,Cases,0,12
APAYAO,Cases,1,8
APAYAO,Cases,0,4
APAYAO,Cases,2,7
APAYAO,Cases,22,10
APAYAO,Cases,0,2
APAYAO,Cases,1,11
APAYAO,Cases,0,3
AURORA,Cases,0,10
AURORA,Cases,1,2
AURORA,Cases,104,9
AURORA,Cases,0,6
AURORA,Cases,0,12
AURORA,Cases,4,7
AURORA,Cases,1,1
AURORA,Cases,0,4
AURORA,Cases,1,8
AURORA,Cases,0,11
AURORA,Cases,0,5
AURORA,Cases,0,3
BACOLOD CITY,Cases,3,1
BACOLOD CITY,Cases,1,5
BACOLOD CITY,Cases,9,8
BACOLOD CITY,Cases,148,10
BACOLOD CITY,Cases,2,3
BACOLOD CITY,Cases,7,11
BACOLOD CITY,Cases,1,6
BACOLOD CITY,Cases,1,4
BACOLOD CITY,Cases,1,2
BACOLOD CITY,Cases,7,7
BACOLOD CITY,Cases,5,12
BACOLOD CITY,Cases,153,9
BAGUIO CITY,Cases,159,9
BAGUIO CITY,Cases,0,12
BAGUIO CITY,Cases,7,8
BAGUIO CITY,Cases,68,10
BAGUIO CITY,Cases,2,2
BAGUIO CITY,Cases,4,7
BAGUIO CITY,Cases,0,3
BAGUIO CITY,Cases,3,11
BAGUIO CITY,Cases,1,1
BAGUIO CITY,Cases,1,5
BAGUIO CITY,Cases,1,4
BAGUIO CITY,Cases,1,6
BASILAN,Cases,0,12
BASILAN,Cases,2,4
BASILAN,Cases,10,9
BASILAN,Cases,19,10
BASILAN,Cases,2,6
BASILAN,Cases,3,1
BASILAN,Cases,2,2
BASILAN,Cases,0,7
BASILAN,Cases,0,5
BASILAN,Cases,2,8
BASILAN,Cases,2,11
BASILAN,Cases,1,3
BASILIG CITY,Cases,0,2
BASILIG CITY,Cases,0,6
BASILIG CITY,Cases,0,7
BASILIG CITY,Cases,1,5
BASILIG CITY,Cases,3,9
BASILIG CITY,Cases,0,8
BASILIG CITY,Cases,9,10
BASILIG CITY,Cases,0,12
BASILIG CITY,Cases,0,1
BASILIG CITY,Cases,0,3
BASILIG CITY,Cases,0,4
BASILIG CITY,Cases,0,11
BATAAN,Cases,10,7
BATAAN,Cases,3,9
BATAAN,Cases,3,8
BATAAN,Cases,2,5
BATAAN,Cases,3,3
BATAAN,Cases,0,4
BATAAN,Cases,4,10
BATAAN,Cases,5,11
BATAAN,Cases,1,1
BATAAN,Cases,0,2
BATAAN,Cases,3,6
BATAAN,Cases,3,12
BATANES,Cases,0,1
BATANES,Cases,1,11
BATANES,Cases,0,9
BATANES,Cases,0,2
BATANES,Cases,0,12
BATANES,Cases,0,3
BATANES,Cases,0,8
BATANES,Cases,0,5
BATANES,Cases,0,4
BATANES,Cases,0,10
BATANES,Cases,0,6
BATANES,Cases,2,7
BATANGAS,Cases,13,8
BATANGAS,Cases,5,2
BATANGAS,Cases,11,11
BATANGAS,Cases,1,4
BATANGAS,Cases,1,6
BATANGAS,Cases,6,7
BATANGAS,Cases,12,12
BATANGAS,Cases,6,5
BATANGAS,Cases,20,10
BATANGAS,Cases,8,1
BATANGAS,Cases,22,9
BATANGAS,Cases,3,3
BAYUGAN CITY,Cases,6,9
BAYUGAN CITY,Cases,1,11
BAYUGAN CITY,Cases,3,8
BAYUGAN CITY,Cases,5,10
BAYUGAN CITY,Cases,1,12
BAYUGAN CITY,Cases,0,5
BAYUGAN CITY,Cases,0,4
BAYUGAN CITY,Cases,1,1
BAYUGAN CITY,Cases,1,2
BAYUGAN CITY,Cases,0,6
BAYUGAN CITY,Cases,2,7
BAYUGAN CITY,Cases,0,3
BENGUET,Cases,7,11
BENGUET,Cases,3,6
BENGUET,Cases,1,12
BENGUET,Cases,5,7
BENGUET,Cases,0,8
BENGUET,Cases,3,2
BENGUET,Cases,2,1
BENGUET,Cases,144,9
BENGUET,Cases,0,5
BENGUET,Cases,0,3
BENGUET,Cases,92,10
BENGUET,Cases,0,4
BILIRAN,Cases,0,4
BILIRAN,Cases,0,3
BILIRAN,Cases,2,9
BILIRAN,Cases,1,8
BILIRAN,Cases,2,10
BILIRAN,Cases,1,1
BILIRAN,Cases,0,7
BILIRAN,Cases,0,11
BILIRAN,Cases,1,2
BILIRAN,Cases,0,12
BILIRAN,Cases,0,5
BILIRAN,Cases,0,6
BOHOL,Cases,8,6
BOHOL,Cases,7,5
BOHOL,Cases,7,3
BOHOL,Cases,9,8
BOHOL,Cases,5,2
BOHOL,Cases,25,11
BOHOL,Cases,17,12
BOHOL,Cases,4,4
BOHOL,Cases,9,1
BOHOL,Cases,84,10
BOHOL,Cases,7,7
BOHOL,Cases,35,9
BUKIDNON,Cases,94,9
BUKIDNON,Cases,1,12
BUKIDNON,Cases,7,6
BUKIDNON,Cases,7,11
BUKIDNON,Cases,4,5
BUKIDNON,Cases,3,4
BUKIDNON,Cases,101,10
BUKIDNON,Cases,10,7
BUKIDNON,Cases,3,3
BUKIDNON,Cases,3,2
BUKIDNON,Cases,1,1
BUKIDNON,Cases,10,8
BULACAN,Cases,5,6
BULACAN,Cases,9,12
BULACAN,Cases,9,1
BULACAN,Cases,6,10
BULACAN,Cases,10,2
BULACAN,Cases,3,4
BULACAN,Cases,5,3
BULACAN,Cases,0,5
BULACAN,Cases,13,9
BULACAN,Cases,7,7
BULACAN,Cases,18,8
BULACAN,Cases,5,11
BUTUAN CITY,Cases,64,10
BUTUAN CITY,Cases,5,1
BUTUAN CITY,Cases,2,12
BUTUAN CITY,Cases,0,11
BUTUAN CITY,Cases,2,8
BUTUAN CITY,Cases,1,4
BUTUAN CITY,Cases,2,2
BUTUAN CITY,Cases,0,3
BUTUAN CITY,Cases,0,6
BUTUAN CITY,Cases,0,7
BUTUAN CITY,Cases,1,5
BUTUAN CITY,Cases,45,9
CABADBARAN CITY,Cases,0,7
CABADBARAN CITY,Cases,12,9
CABADBARAN CITY,Cases,0,8
CABADBARAN CITY,Cases,0,6
CABADBARAN CITY,Cases,1,3
CABADBARAN CITY,Cases,0,5
CABADBARAN CITY,Cases,0,4
CABADBARAN CITY,Cases,0,12
CABADBARAN CITY,Cases,0,11
CABADBARAN CITY,Cases,0,1
CABADBARAN CITY,Cases,13,10
CABADBARAN CITY,Cases,1,2
CAGAYAN,Cases,1,11
CAGAYAN,Cases,2,2
CAGAYAN,Cases,5,7
CAGAYAN,Cases,10,10
CAGAYAN,Cases,1,3
CAGAYAN,Cases,16,8
CAGAYAN,Cases,3,4
CAGAYAN,Cases,12,9
CAGAYAN,Cases,0,6
CAGAYAN,Cases,9,12
CAGAYAN,Cases,11,1
CAGAYAN,Cases,1,5
CALOOCAN CITY,Cases,10,8
CALOOCAN CITY,Cases,3,4
CALOOCAN CITY,Cases,1,5
CALOOCAN CITY,Cases,2,12
CALOOCAN CITY,Cases,4,1
CALOOCAN CITY,Cases,180,10
CALOOCAN CITY,Cases,0,6
CALOOCAN CITY,Cases,2,2
CALOOCAN CITY,Cases,131,9
CALOOCAN CITY,Cases,18,11
CALOOCAN CITY,Cases,3,3
CALOOCAN CITY,Cases,11,7
CAMARINES NORTE,Cases,2,7
CAMARINES NORTE,Cases,2,12
CAMARINES NORTE,Cases,3,3
CAMARINES NORTE,Cases,2,10
CAMARINES NORTE,Cases,1,8
CAMARINES NORTE,Cases,1,11
CAMARINES NORTE,Cases,0,5
