loc,cases,deaths,day,month,year
4,15,0,10,1,2016
4,13,0,17,1,2016
4,9,0,24,1,2016
4,14,0,31,1,2016
4,9,0,7,2,2016
4,17,0,14,2,2016
4,3,0,21,2,2016
4,11,0,28,2,2016
4,8,0,6,3,2016
4,6,0,13,3,2016
4,5,1,20,3,2016
4,5,0,27,3,2016
4,2,0,3,4,2016
4,2,0,10,4,2016
4,6,0,17,4,2016
4,5,0,24,4,2016
4,5,0,1,5,2016
4,3,0,8,5,2016
4,2,0,15,5,2016
4,5,0,22,5,2016
4,4,0,29,5,2016
4,3,0,5,6,2016
4,5,0,12,6,2016
4,9,0,19,6,2016
4,6,0,26,6,2016
4,7,0,3,7,2016
4,4,0,10,7,2016
4,7,0,17,7,2016
4,12,0,24,7,2016
4,5,0,31,7,2016
4,12,0,7,8,2016
4,16,0,14,8,2016
4,15,0,21,8,2016
4,15,0,28,8,2016
4,19,1,4,9,2016
4,20,0,11,9,2016
4,17,0,18,9,2016
4,13,0,25,9,2016
4,16,0,2,10,2016
4,14,0,9,10,2016
4,7,0,16,10,2016
4,19,0,23,10,2016
4,9,0,30,10,2016
4,6,0,6,11,2016
4,9,0,13,11,2016
4,15,0,20,11,2016
4,18,0,27,11,2016
4,19,0,4,12,2016
4,2,0,11,12,2016
4,9,0,18,12,2016
4,14,0,25,12,2016
4,10,0,1,1,2017
5,21,0,10,1,2016
5,14,0,17,1,2016
5,24,0,24,1,2016
5,22,0,31,1,2016
5,18,0,7,2,2016
5,24,0,14,2,2016
5,12,0,21,2,2016
5,21,0,28,2,2016
5,12,0,6,3,2016
5,6,0,13,3,2016
5,4,0,20,3,2016
5,10,0,27,3,2016
5,11,0,3,4,2016
5,9,0,10,4,2016
5,6,0,17,4,2016
5,1,0,24,4,2016
5,3,0,1,5,2016
5,1,0,8,5,2016
5,4,0,15,5,2016
5,7,0,22,5,2016
5,1,0,29,5,2016
5,0,0,5,6,2016
5,0,0,12,6,2016
5,0,0,19,6,2016
5,1,0,26,6,2016
5,2,0,3,7,2016
5,9,0,10,7,2016
5,5,0,17,7,2016
5,10,0,24,7,2016
5,6,0,31,7,2016
5,11,0,7,8,2016
5,19,0,14,8,2016
5,38,0,21,8,2016
5,23,0,28,8,2016
5,63,1,4,9,2016
5,53,0,11,9,2016
5,42,0,18,9,2016
5,59,1,25,9,2016
5,46,0,2,10,2016
5,41,1,9,10,2016
5,24,0,16,10,2016
5,41,0,23,10,2016
5,32,0,30,10,2016
5,49,0,6,11,2016
5,37,0,13,11,2016
5,43,0,20,11,2016
5,23,2,27,11,2016
5,16,0,4,12,2016
5,53,0,11,12,2016
5,52,0,18,12,2016
5,28,1,25,12,2016
5,41,0,1,1,2017
8,37,0,10,1,2016
8,15,0,17,1,2016
8,14,0,24,1,2016
8,21,0,31,1,2016
8,18,0,7,2,2016
8,8,0,14,2,2016
8,10,0,21,2,2016
8,5,0,28,2,2016
8,6,0,6,3,2016
8,10,0,13,3,2016
8,5,0,20,3,2016
8,3,0,27,3,2016
8,2,0,3,4,2016
8,8,0,10,4,2016
8,5,0,17,4,2016
8,4,0,24,4,2016
8,4,0,1,5,2016
8,1,0,8,5,2016
8,0,0,15,5,2016
8,1,0,22,5,2016
8,3,0,29,5,2016
8,0,0,5,6,2016
8,2,0,12,6,2016
8,9,0,19,6,2016
8,2,0,26,6,2016
8,5,0,3,7,2016
8,21,0,10,7,2016
8,14,0,17,7,2016
8,22,0,24,7,2016
8,9,0,31,7,2016
8,11,0,7,8,2016
8,12,0,14,8,2016
8,24,1,21,8,2016
8,17,0,28,8,2016
8,14,0,4,9,2016
8,15,0,11,9,2016
8,15,0,18,9,2016
8,12,0,25,9,2016
8,7,0,2,10,2016
8,9,0,9,10,2016
8,18,0,16,10,2016
8,7,0,23,10,2016
8,12,0,30,10,2016
8,6,0,6,11,2016
8,6,0,13,11,2016
8,6,0,20,11,2016
8,3,0,27,11,2016
8,7,0,4,12,2016
8,5,0,11,12,2016
8,7,0,18,12,2016
8,1,0,25,12,2016
8,1,0,1,1,2017
13,87,0,10,1,2016
13,81,0,17,1,2016
13,88,0,24,1,2016
13,92,1,31,1,2016
13,120,0,7,2,2016
13,83,0,14,2,2016
13,85,0,21,2,2016
13,50,0,28,2,2016
13,57,1,6,3,2016
13,47,0,13,3,2016
13,47,0,20,3,2016
13,37,0,27,3,2016
13,35,0,3,4,2016
13,23,0,10,4,2016
13,28,0,17,4,2016
13,13,0,24,4,2016
13,17,0,1,5,2016
13,17,0,8,5,2016
13,10,0,15,5,2016
13,9,0,22,5,2016
13,6,0,29,5,2016
13,5,0,5,6,2016
13,10,0,12,6,2016
13,9,0,19,6,2016
13,17,0,26,6,2016
13,19,0,3,7,2016
13,23,0,10,7,2016
13,20,0,17,7,2016
13,38,1,24,7,2016
13,58,1,31,7,2016
