loc,cases,deaths,month
25,948,2,1
25,787,3,2
25,633,4,3
25,357,0,4
25,358,1,5
25,414,0,6
25,1177,4,7
25,2171,5,8
25,3012,78,9
25,1392,72,10
25,1913,1,11
25,1049,0,12
80,1492,3,1
80,1282,6,2
80,979,4,3
80,616,15,4
80,545,2,5
80,912,5,6
80,1938,9,7
80,3639,7,8
80,3152,115,9
80,2477,97,10
80,1823,11,11
80,1726,10,12
0,144,1,1
0,135,0,2
0,128,0,3
0,49,0,4
0,82,0,5
0,228,1,6
0,774,1,7
0,633,1,8
0,476,45,9
0,290,6,10
0,153,5,11
0,85,0,12
1,411,6,1
1,345,1,2
1,269,1,3
1,141,1,4
1,119,0,5
1,124,0,6
1,255,1,7
1,372,3,8
1,183,37,9
1,162,41,10
1,135,1,11
1,306,5,12
2,901,1,1
2,901,4,2
2,473,5,3
2,221,1,4
2,250,0,5
2,366,1,6
2,622,2,7
2,518,1,8
2,541,43,9
2,511,45,10
2,490,3,11
2,736,6,12
3,598,0,1
3,566,3,2
3,604,2,3
3,319,3,4
3,395,1,5
3,918,8,6
3,2277,4,7
3,2095,5,8
3,1408,42,9
3,753,41,10
3,572,1,11
3,483,0,12
4,209,3,1
4,165,2,2
4,137,5,3
4,79,2,4
4,71,2,5
4,244,8,6
4,403,2,7
4,406,2,8
4,482,7,9
4,257,2,10
4,206,3,11
4,209,3,12
5,499,1,1
5,289,4,2
5,159,0,3
5,76,0,4
5,47,0,5
5,51,1,6
5,200,1,7
5,444,0,8
5,848,5,9
5,664,1,10
5,344,2,11
5,374,2,12
6,240,2,1
6,190,2,2
6,196,0,3
6,158,0,4
6,265,1,5
6,475,5,6
6,1841,9,7
6,4319,7,8
6,1090,38,9
6,590,51,10
6,420,3,11
6,373,2,12
7,264,1,1
7,262,0,2
7,157,0,3
7,79,0,4
7,106,0,5
7,265,0,6
7,504,2,7
7,525,1,8
7,432,44,9
7,448,22,10
7,473,1,11
7,441,0,12
8,248,1,1
8,204,1,2
8,210,0,3
8,93,0,4
8,105,0,5
8,333,0,6
8,487,4,7
8,748,1,8
8,516,104,9
8,260,0,10
